,first,last,season_code,installment,brand,brand_season,year,total_houseguests,total_days,age,age_group,gender,oringal_race_ethnicity,race_ethnicity,latinx_hispanic,biracial,biracial_one,biracial_two,lgbts,person_with_disability,hometown,homestate,appearance,comeback_sequester,came_back,first_eviction_day,first_eviction_week,day_of_comeback_sequester_end,days_of_comeback_sequesters,weeks_of_comeback_sequester,made_jury,days_of_jury_sequester,final_eviction_day,final_eviction_week,days_in_game_including_sequester,total_days_in_game_excluding_sequester,weeks_in_game_including_sequester,weeks_in_game_excluding_sequester,afp,ejected,self_evicted,total_vetos,total_hoh,other_comp_wins,total_nominations,total_wins,final_placement,placement_rank_percent,name
287,Angela,Rummans,bbus20,22,regular,18,2018,16,99,26,20-somethings,female,white,white,no,no,,,non-lgbt,no,playa vista,CA,1,no,no,93,13,,,,yes,6,93,15,99,93,14.14,13.29,no,no,no,2.0,3.0,0.0,2,5.0,4,0.25,Angela Rummans
288,"Samantha ""Sam""",Bledsoe,bbus20,22,regular,18,2018,16,99,27,20-somethings,female,white,white,no,no,,,non-lgbt,no,stuarts draft,VA,1,no,no,91,13,,,,yes,8,91,15,99,91,14.14,13.0,no,no,no,0.0,1.0,0.0,4,1.0,5,0.31,"Samantha ""Sam"" Bledsoe"
289,Brett,Robinson,bbus20,22,regular,18,2018,16,99,25,20-somethings,male,white,white,no,no,,,non-lgbt,no,charlestown,MA,1,no,no,86,12,,,,yes,13,86,15,99,86,14.14,12.29,no,no,no,1.0,0.0,0.0,4,1.0,6,0.38,Brett Robinson
290,Haleigh,Broucher,bbus20,22,regular,18,2018,16,99,21,20-somethings,female,white,white,no,no,,,non-lgbt,no,college station,TX,1,no,no,86,12,,,,yes,13,86,15,99,86,14.14,12.29,no,no,no,0.0,1.0,0.0,4,1.0,7,0.44,Haleigh Broucher
291,Scottie,Salton,bbus20,22,regular,18,2018,16,99,26,20-somethings,male,white,white,no,no,,,non-lgbt,no,chicago,IL,1,yes,yes,65,9,72,7,1,yes,34,65,15,99,58,14.14,8.29,no,no,no,1.0,1.0,0.0,4,2.0,8,0.5,Scottie Salton
292,Faysal,Shafaat,bbus20,22,regular,18,2018,16,99,26,20-somethings,male,middle eastern,middle eastern,no,no,,,non-lgbt,no,orlando,FL,1,yes,no,72,10,72,0,0,yes,27,72,15,99,72,14.14,10.29,no,no,no,2.0,1.0,0.0,1,3.0,9,0.56,Faysal Shafaat
293,"Angie ""Rockstar""",Lantry,bbus20,22,regular,18,2018,16,99,34,30-somethings,female,white,white,no,no,,,non-lgbt,no,columbia,MD,1,yes,no,58,8,72,14,2,yes,41,58,15,99,58,14.14,8.29,no,no,no,0.0,0.0,0.0,3,0.0,10,0.63,"Angie ""Rockstar"" Lantry"
294,Bayleigh,Dayton,bbus20,22,regular,18,2018,16,99,25,20-somethings,female,black,black,no,no,,,non-lgbt,no,atlanta,GA,1,yes,no,51,7,72,21,3,yes,48,51,15,99,51,14.14,7.29,no,no,no,0.0,1.0,0.0,1,1.0,11,0.69,Bayleigh Dayton
295,Rachel,Swindler,bbus20,22,regular,18,2018,16,99,29,20-somethings,female,white,white,no,no,,,unknown,no,las vegas,NV,1,no,no,44,6,,,,no,0,44,7,44,44,6.29,6.29,no,no,no,0.0,0.0,0.0,1,0.0,12,0.75,Rachel Swindler
296,Kaitlyn,Herman,bbus20,22,regular,18,2018,16,99,24,20-somethings,female,white,white,no,no,,,non-lgbt,no,encino,CA,1,no,no,37,5,,,,no,0,37,6,37,37,5.29,5.29,no,no,no,0.0,1.0,0.0,1,1.0,13,0.81,Kaitlyn Herman
297,Winston,Hines,bbus20,22,regular,18,2018,16,99,28,20-somethings,male,white,white,no,no,,,non-lgbt,no,bowling green,KY,1,no,no,30,4,,,,no,0,30,5,30,30,4.29,4.29,no,no,no,0.0,0.0,0.0,2,0.0,14,0.88,Winston Hines
298,"Chris ""Swaggy C""",WIlliams,bbus20,22,regular,18,2018,16,99,23,20-somethings,male,black,black,no,no,,,non-lgbt,no,bridgeport,CT,1,no,no,23,3,,,,no,0,23,4,23,23,3.29,3.29,no,no,no,0.0,0.0,0.0,1,0.0,15,0.94,"Chris ""Swaggy C"" WIlliams"
299,Steve,Arienta,bbus20,22,regular,18,2018,16,99,40,40-somethings,male,pacific islander,biracial,no,yes,pacific islander,white,non-lgbt,no,wanaque,NJ,1,no,no,16,2,,,,no,0,16,3,16,16,2.29,2.29,no,no,no,0.0,0.0,0.0,1,0.0,16,1.0,Steve Arienta
300,Tamar,Braxton,cbbus2,23,celebrity,2,2019,12,29,41,40-somethings,female,black,black,no,no,,,non-lgbt,no,los angeles,CA,1,no,no,29,4,,,,final,0,29,5,29,29,4.14,4.14,no,no,no,1.0,1.0,0.0,2,2.0,1,0.08,Tamar Braxton
301,Ricky,Williams,cbbus2,23,celebrity,2,2019,12,29,41,40-somethings,male,black,black,no,no,,,non-lgbt,no,venice beach,CA,1,no,no,29,4,,,,final,0,29,5,29,29,4.14,4.14,no,no,no,1.0,2.0,0.0,1,3.0,2,0.17,Ricky Williams
302,Lolo,Jones,cbbus2,23,celebrity,2,2019,12,29,36,30-somethings,female,black,biracial,no,yes,black,white,non-lgbt,no,baton rouge,LA,1,no,no,29,4,,,,yes,0,29,5,29,29,4.14,4.14,no,no,no,2.0,1.0,0.0,2,3.0,3,0.25,Lolo Jones
303,Dina,Lohan,cbbus2,23,celebrity,2,2019,12,29,56,50+,female,white,white,no,no,,,non-lgbt,no,long island,NY,1,no,no,29,4,,,,yes,0,29,5,29,29,4.14,4.14,no,no,no,0.0,0.0,0.0,3,0.0,4,0.33,Dina Lohan
304,Kandi,Burruss,cbbus2,23,celebrity,2,2019,12,29,42,40-somethings,female,black,black,no,no,,,non-lgbt,no,atlanta,GA,1,no,no,29,4,,,,yes,0,29,5,29,29,4.14,4.14,no,no,no,0.0,0.0,0.0,4,0.0,5,0.42,Kandi Burruss
305,Tom,Green,cbbus2,23,celebrity,2,2019,12,29,47,40-somethings,male,white,white,no,no,,,non-lgbt,no,los angeles,CA,1,no,no,24,3,,,,yes,5,24,5,29,24,4.14,3.43,yes,no,no,2.0,2.0,0.0,4,4.0,6,0.5,Tom Green
306,"Natalie ""Eva Marie""",Marie,cbbus2,23,celebrity,2,2019,12,29,34,30-somethings,female,latinx,other-latinx,yes,no,,,non-lgbt,no,north tustin,CA,1,no,no,24,3,,,,yes,5,24,5,29,24,4.14,3.43,no,no,no,1.0,0.0,0.0,1,1.0,7,0.58,"Natalie ""Eva Marie"" Marie"
307,Kato,Kaelin,cbbus2,23,celebrity,2,2019,12,29,59,50+,male,white,white,no,no,,,non-lgbt,no,los angeles,CA,1,no,no,20,3,,,,yes,9,20,5,29,20,4.14,2.86,no,no,no,1.0,1.0,0.0,1,2.0,8,0.67,Kato Kaelin
308,Joey,Lawrence,cbbus2,23,celebrity,2,2019,12,29,42,40-somethings,male,white,white,no,no,,,non-lgbt,no,los angeles,CA,1,no,no,18,3,,,,yes,11,18,5,29,18,4.14,2.57,no,no,no,0.0,0.0,0.0,2,0.0,9,0.75,Joey Lawrence
309,Ryan,Lochte,cbbus2,23,celebrity,2,2019,12,29,34,30-somethings,male,latinx,biracial-latinx,yes,no,,,non-lgbt,no,gainesville,FL,1,no,no,13,2,,,,yes,16,13,5,29,13,4.14,1.86,no,no,no,0.0,1.0,0.0,1,1.0,10,0.83,Ryan Lochte
310,Jonathan,Bennett,cbbus2,23,celebrity,2,2019,12,29,37,30-somethings,male,white,white,no,no,,,gay,no,newport beach,CA,1,no,no,10,1,,,,yes,19,10,5,29,10,4.14,1.43,no,no,no,0.0,0.0,0.0,2,0.0,11,0.92,Jonathan Bennett
311,Anthony,Scaramucci,cbbus2,23,celebrity,2,2019,12,29,55,50+,male,white,white,no,no,,,non-lgbt,no,manhasset,NY,1,no,no,6,1,,,,yes,23,6,5,29,6,4.14,0.86,no,no,no,0.0,0.0,0.0,1,0.0,12,1.0,Anthony Scaramucci
312,Jackson,Michie,bbus21,24,regular,19,2019,16,99,24,20-somethings,male,white,white,no,no,,,non-lgbt,no,los angeles,CA,1,no,no,99,14,,,,final,0,99,15,99,99,14.14,14.14,no,no,no,4.0,4.0,2.0,3,10.0,1,0.06,Jackson Michie
313,Holly,Allen,bbus21,24,regular,19,2019,16,99,31,30-somethings,female,white,white,no,no,,,non-lgbt,no,los angeles,CA,1,no,no,99,14,,,,final,0,99,15,99,99,14.14,14.14,no,no,no,0.0,2.0,0.0,3,2.0,2,0.13,Holly Allen
314,Nicole,Anthony,bbus21,24,regular,19,2019,16,99,24,20-somethings,female,white,white,no,no,,,non-lgbt,no,long island,NY,1,no,no,99,14,,,,yes,0,99,15,99,99,14.14,14.14,yes,no,no,1.0,2.0,0.0,1,3.0,3,0.19,Nicole Anthony
315,Cliff,Hogg,bbus21,24,regular,19,2019,16,99,53,50+,male,white,white,no,no,,,non-lgbt,no,houston,TX,1,yes,yes,30,4,30,0,0,yes,6,93,15,99,93,14.14,13.29,no,no,no,1.0,1.0,0.0,5,2.0,4,0.25,Cliff Hogg
316,Tommy,Bracco,bbus21,24,regular,19,2019,16,99,28,20-somethings,male,white,white,no,no,,,gay,no,staten island,NY,1,no,no,86,12,,,,yes,13,86,15,99,86,14.14,12.29,no,no,no,2.0,1.0,0.0,2,3.0,5,0.31,Tommy Bracco
317,Christie,Murphy,bbus21,24,regular,19,2019,16,99,28,20-somethings,female,white,white,no,no,,,bisexual,no,keyport,NJ,1,no,no,79,11,,,,yes,20,79,15,99,79,14.14,11.29,no,no,no,0.0,1.0,1.0,5,2.0,6,0.38,Christie Murphy
318,"Jessica ""Jess""",Milagros,bbus21,24,regular,19,2019,16,99,37,30-somethings,female,latinx,other-latinx,yes,no,,,non-lgbt,no,oak park,IL,1,no,no,79,11,,,,yes,20,79,15,99,79,14.14,11.29,no,no,no,1.0,1.0,0.0,2,2.0,7,0.44,"Jessica ""Jess"" Milagros"
319,Nick,Maccarone,bbus21,24,regular,19,2019,16,99,27,20-somethings,male,white,white,no,no,,,non-lgbt,no,sewell,NJ,1,no,no,72,10,,,,yes,27,72,15,99,72,14.14,10.29,no,no,no,1.0,1.0,0.0,2,2.0,8,0.5,Nick Maccarone
320,Analyse,Talvera,bbus21,24,regular,19,2019,16,99,22,20-somethings,female,unknown,unknown,no,no,,,non-lgbt,no,simi valley,CA,1,no,no,65,9,,,,yes,34,65,15,99,65,14.14,9.29,no,no,no,0.0,0.0,0.0,1,0.0,9,0.56,Analyse Talvera
321,"Kathryn ""Kat""",Dunn,bbus21,24,regular,19,2019,16,99,29,20-somethings,female,white,white,no,no,,,non-lgbt,no,dallas,TX,1,no,no,58,8,,,,yes,41,58,15,99,58,14.14,8.29,no,no,no,1.0,0.0,0.0,3,1.0,10,0.63,"Kathryn ""Kat"" Dunn"
322,Jack,Mathews,bbus21,24,regular,19,2019,16,99,28,20-somethings,male,unknown,unknown,no,no,,,non-lgbt,no,tampa,FL,1,no,no,51,7,,,,yes,48,51,15,99,51,14.14,7.29,no,no,no,0.0,1.0,1.0,2,2.0,11,0.69,Jack Mathews
323,Sam,Smith,bbus21,24,regular,19,2019,16,99,31,30-somethings,male,white,white,no,no,,,non-lgbt,no,mountain top,PA,1,no,no,44,6,,,,no,0,44,7,44,44,6.29,6.29,no,no,no,2.0,0.0,0.0,1,2.0,12,0.75,Sam Smith
324,"Isabella ""Bella""",Wang,bbus21,24,regular,19,2019,16,99,22,20-somethings,female,asian,asian,no,no,,,non-lgbt,no,los angeles,CA,1,no,no,37,5,,,,no,0,37,6,37,37,5.29,5.29,no,no,no,0.0,0.0,0.0,1,0.0,13,0.81,"Isabella ""Bella"" Wang"
325,Kemi,Fakunle,bbus21,24,regular,19,2019,16,99,25,20-somethings,female,black,black,no,no,,,non-lgbt,no,brooklyn,NY,1,yes,no,23,3,30,7,1,no,0,23,4,23,23,3.29,3.29,no,no,no,0.0,0.0,0.0,1,0.0,14,0.88,Kemi Fakunle
326,Ovi,Kabir,bbus21,24,regular,19,2019,16,99,22,20-somethings,male,asian,asian,no,no,,,non-lgbt,no,knoxville,TN,1,yes,no,15,2,30,15,2.142857143,no,0,15,3,15,15,2.14,2.14,no,no,no,0.0,0.0,1.0,1,1.0,15,0.94,Ovi Kabir
327,David,Alexander,bbus21,24,regular,19,2019,16,99,29,20-somethings,male,black,black,no,no,,,non-lgbt,no,atlanta,GA,1,yes,no,1,0,30,29,4.142857143,no,0,1,1,1,1,0.14,0.14,no,no,no,0.0,0.0,0.0,0,0.0,16,1.0,David Alexander
328,Keesha,Smith,bbus22,25,all-stars,2,2020,16,85,42,40-somethings,female,white,white,no,no,,,non-lgbt,no,burbank,CA,2,no,no,9,1,,,,no,0,9,2,9,9,1.29,1.29,no,no,no,0.0,0.0,0.0,1,0.0,16,1.0,Keesha Smith
329,Nicole,Anthony,bbus22,25,all-stars,2,2020,16,85,25,20-somethings,female,white,white,no,no,,,non-lgbt,no,long island,NY,2,no,no,16,2,,,,no,0,16,3,16,16,2.29,2.29,no,no,no,0.0,0.0,0.0,1,0.0,15,0.94,Nicole Anthony
330,Janelle,Pierzina,bbus22,25,all-stars,2,2020,16,85,40,40-somethings,female,white,white,no,no,,,non-lgbt,no,miami beach,FL,4,no,no,23,3,,,,no,0,23,4,23,23,3.29,3.29,no,no,no,0.0,0.0,0.0,1,0.0,14,0.88,Janelle Pierzina
331,Kaysar,Ridha,bbus22,25,all-stars,2,2020,16,85,39,30-somethings,male,middle eastern,middle eastern,no,no,,,non-lgbt,no,irvine,CA,3,no,no,30,4,,,,no,0,30,5,30,30,4.29,4.29,no,no,no,0.0,0.0,1.0,2,1.0,13,0.81,Kaysar Ridha
332,Bayleigh,Dayton,bbus22,25,all-stars,2,2020,16,85,27,20-somethings,female,black,black,no,no,,,non-lgbt,no,atlanta,GA,2,no,no,37,5,,,,no,0,37,6,37,37,5.29,5.29,no,no,no,0.0,0.0,0.0,1,0.0,12,0.75,Bayleigh Dayton
333,Ian,Terry,bbus22,25,all-stars,2,2020,16,85,29,20-somethings,male,white,white,no,no,,,non-lgbt,no,new orleans,LA,2,no,no,44,6,,,,yes,41,44,13,85,44,12.14,6.29,no,no,no,0.0,0.0,0.0,1,0.0,11,0.69,Ian Terry
334,Da'Vonne,Rogers,bbus22,25,all-stars,2,2020,16,85,32,30-somethings,female,black,black,no,no,,,non-lgbt,no,los angeles,CA,3,no,no,51,7,,,,yes,34,51,13,85,51,12.14,7.29,yes,no,no,1.0,0.0,0.0,2,1.0,10,0.63,Da'Vonne Rogers
335,Kevin,Campbell,bbus22,25,all-stars,2,2020,16,85,40,40-somethings,male,black/asian,biracial,no,yes,black,asian,gay,no,chula vista,CA,2,no,no,58,8,,,,yes,27,58,13,85,58,12.14,8.29,no,no,no,1.0,0.0,0.0,5,1.0,9,0.56,Kevin Campbell
336,David,Alexander,bbus22,25,all-stars,2,2020,16,85,30,30-somethings,male,black,black,no,no,,,non-lgbt,no,atlanta,GA,2,yes,no,58,8,,,,yes,27,58,13,85,58,12.14,8.29,no,no,no,0.0,0.0,1.0,4,1.0,8,0.5,David Alexander
337,"Daniele ""Donato""",Briones,bbus22,25,all-stars,2,2020,16,85,33,30-somethings,female,white,white,no,no,,,non-lgbt,no,hunting beach,CA,3,no,no,58,8,,,,yes,27,58,13,85,58,12.14,8.29,no,no,no,0.0,1.0,1.0,1,2.0,7,0.44,"Daniele ""Donato"" Briones"
338,Tyler,Crispen,bbus22,25,all-stars,2,2020,16,85,25,20-somethings,male,white,white,no,no,,,non-lgbt,no,hilton head,SC,2,no,no,65,9,,,,yes,20,65,13,85,65,12.14,9.29,no,no,no,2.0,2.0,0.0,2,4.0,6,0.38,Tyler Crispen
339,"Robert ""Memphis""",Garrett,bbus22,25,all-stars,2,2020,16,85,37,30-somethings,male,white,white,no,no,,,non-lgbt,no,los angeles,CA,2,no,no,72,10,,,,yes,13,72,13,85,72,12.14,10.29,no,no,no,1.0,3.0,0.0,1,4.0,5,0.31,"Robert ""Memphis"" Garrett"
340,Christmas,Abbott,bbus22,25,all-stars,2,2020,17,85,38,30-somethings,female,white,white,no,no,,,non-lgbt,no,raleigh,NC,2,no,no,79,11,,,,yes,6,79,13,85,79,12.14,11.29,no,no,no,2.0,1.0,2.0,4,5.0,4,0.24,Christmas Abbott
341,Nicole,Franzel,bbus22,25,all-stars,2,2020,16,85,28,20-somethings,female,white,white,no,no,,,non-lgbt,no,ubly,MI,3,no,no,85,12,,,,yes,0,85,13,85,85,12.14,12.14,no,no,no,1.0,1.0,0.0,4,2.0,3,0.19,Nicole Franzel
342,Enzo,Palumbo,bbus22,25,all-stars,2,2020,16,85,42,40-somethings,male,white,white,no,no,,,non-lgbt,no,bayonne,NJ,2,no,no,85,12,,,,final,0,85,13,85,85,12.14,12.14,no,no,no,1.0,2.0,1.0,1,4.0,2,0.13,Enzo Palumbo
343,Cody,Calafiore,bbus22,25,all-stars,2,2020,16,85,29,20-somethings,male,white,white,no,no,,,non-lgbt,no,howell,NJ,2,no,no,85,12,,,,final,0,85,13,85,85,12.14,12.14,no,no,no,4.0,4.0,0.0,0,8.0,1,0.06,Cody Calafiore
